English_Name;Native_Name;Glottocode;near_ISO6393;639-3;639-2_B;639-2_T;639-1;Scope;Language_Type;#L1_Speakers
Afade;Afaɗə;afad1236;0;aal;0;0;0;I;L;Unknow
Pará Arára;Parirí;para1310;0;aap;0;0;0;I;L;Unknow
Afar;Qafar af;afar1241;0;aar;aar;aar;aa;I;L;2000000
Aka-Bea;Aka-Bea;0;0;abj;0;0;0;I;E;Unknow
Abon;Abõ;abon1238;0;abo;0;0;0;I;L;Unknow
Abaza;абаза бызшва;abaz1241;0;abq;0;0;0;I;L;10K-100K
Pal;Abasakur;pall1244;0;abw;0;0;0;I;L;Unknow
Aneme Wake;Abia;anem1248;0;aby;0;0;0;I;L;<10K
Abui; Abui tanga;abui1241;0;abz;0;0;0;I;L;10K-100K
Aka-Cari;Aka-Cari;0;0;aci;0;0;0;I;E;Unknow
Aka-Kora;Aka-Kora;0;0;ack;0;0;0;I;E;Unknow
Akar-Bale;Akar-Bale;0;0;acl;0;0;0;I;E;Unknow
Achang;Ngachang အာချန် / ငါချန်;0;0;acn;0;0;0;I;L;10K-100K
Achi;Achiʼ;achi1256;0;acr;0;0;0;I;L;10K-100K
Achumawi;ís siwa wó disi;achu1247;0;acv;0;0;0;I;L;Unknow
Adele;Gidire;adel1244;0;ade;0;0;0;I;L;10K-100K
Adonara;Adonara;adon1237;0;adr;0;0;0;I;L;Unknow
Adnyamathanha;yura ngarwala;adny1235;0;adt;0;0;0;I;L;Unknow
Adyghe;Адыгабзэ;adyg1241;0;ady;ady;ady;0;I;L;600000
Haeke;Haekic;haek1239;0;aek;0;0;0;I;L;Unknow
Aer;آیر;aerr1238;0;aeq;0;0;0;I;L;Unknow
Ambakich;Ambakich;amba1269;0;aew;0;0;0;I;L;Unknow
Amele;Sona;amel1241;0;aey;0;0;0;I;L;<10K
Andai;Meakambut;anda1283;0;afd;0;0;0;I;L;Unknow
Akrukay;Chini;0;0;afi;0;0;0;I;L;Unknow
Defaka;Défàkà;defa1248;0;afn;0;0;0;I;L;Unknow
Eloyi;Afu;0;0;afo;0;0;0;I;L;Unknow
Obokuitai;Aliki;obok1239;0;afz;0;0;0;I;L;Unknow
Agatu;North Idoma;agat1236;0;agc;0;0;0;I;L;10K-100K
Angal;Mendi;anga1293;0;age;0;0;0;I;L;Unknow
Angor;Senagi;ango1254;0;agg;0;0;0;I;L;<10K
Ngelima;Angba;ngel1238;0;agh;0;0;0;I;L;Unknow
Fembe;Agala;femb1238;0;agl;0;0;0;I;L;Unknow
Tainae;Ivori;tain1253;0;ago;0;0;0;I;L;<10K
Aghem;Yum;aghe1239;0;agq;0;0;0;I;L;10K-100K
Aguaruna;Awajún;agua1253;0;agr;0;0;0;I;L;10K-100K
Kahua;Anganiwai;kahu1241;0;agw;0;0;0;I;L;<10K
Aghul;агъул чӀал / ağul ҫ̇al;aghu1253;0;agx;0;0;0;I;L;10K-100K
Qimant;Kemantney;qima1242;0;ahg;0;0;0;I;L;Unknow
Ahom;Ahom;ahom1240;0;aho;0;0;0;I;E;Unknow
Ake;Aike;0;0;aik;0;0;0;I;L;Unknow
Aimele;Kware;aime1238;0;ail;0;0;0;I;L;Unknow
Aiton;(တႝ)ဢႝတွꩫ်;aito1238;0;aio;0;0;0;I;L;Unknow
Aka-Jeru;Aka-Jeru;0;0;akj;0;0;0;I;E;Unknow
Akkadian;𒀝𒅗𒁺𒌑 (Akkadû);akka1240;0;akk;akk;akk;0;I;A;Unknow
Aklanon;Akeanon / Binisaya nga Akeanon / Inakeanon;akla1240;0;akl;0;0;0;I;L;500000
