ms;msa
ky;kir
my;mya
ku;kur
pa;pan
fy;fry
ckb;ckb
ug;uig
ht;hat
or;ori
ny;nya
st;sot
se;sme
ilo;ilo
lg;lug
nso;nso
bua;bua
chm;chm
ang;ang
nhe;nhe
bgp;bgp
zxx;zxx
alt;alt
mrj;mrj
emp;emp
bru;bru
quh;quh
acf;acf
qvi;qvi
djk;djk
mfe;mfe
gui;gui
mni;mni
taj;taj
lrc;lrc
ktu;ktu
knj;knj
qxr;qxr
luz;luz
qvz;qvz
qup;qup
ff;ful
ber;ber
kaa-Latn;kaa
el-Latn;ell
hi-Latn;hin
ctd-Latn;ctd
rhg-Latn;rhg
bmm;bmm
ja-Latn;jpn
ru-Latn;rus
te-Latn;tel
ber-Latn;ber
az-RU;aze
ta-Latn;tam
tly-IR;tly
bzc;bzc
nan-Latn-TW;nan
ml-Latn;mal
ar-Latn;ara
gom-Latn;gom
bg-Latn;bul
kn-Latn;kan
zh-Latn;zho
el-CY;ell
cr-Latn;cre
bn-Latn;ben
gu-Latn;guj
sat-Latn;sat
kmz-Latn;kmz
mr-Latn;mar
en-Cyrl;eng
en-Arab;eng
ms-Arab;msa
ms-Arab-BN;msa
pa-Arab;pan
syl-Latn;syl
