en,English,Latn,eng_Latn
ru,Russian,Cyrl,rus_Cyrl
es,Spanish,Latn,spa_Latn
fr,French,Latn,fra_Latn
de,German,Latn,deu_Latn
it,Italian,Latn,ita_Latn
pt,Portuguese,Latn,por_Latn
pl,Polish,Latn,pol_Latn
nl,Dutch,Latn,nld_Latn
vi,Vietnamese,Latn,vie_Latn
tr,Turkish,Latn,tur_Latn
sv,Swedish,Latn,swe_Latn
id,Indonesian,Latn,ind_Latn
ro,Romanian,Latn,ron_Latn
cs,Czech,Latn,ces_Latn
zh,Mandarin Chinese,Hans,zho_Hans
hu,Hungarian,Latn,hun_Latn
ja,Japanese,Jpan,jpn_Jpan
th,Thai,Thai,tha_Thai
fi,Finnish,Latn,fin_Latn
fa,Persian,Arab,fas_Arab
uk,Ukrainian,Cyrl,ukr_Cyrl
da,Danish,Latn,dan_Latn
el,Greek,Grek,ell_Grek
no,Norwegian,Latn,nor_Latn
bg,Bulgarian,Cyrl,bul_Cyrl
sk,Slovak,Latn,slk_Latn
ko,Korean,Kore,kor_Kore
ar,Arabic,Arab,ara_Arab
lt,Lithuanian,Latn,lit_Latn
ca,Catalan,Latn,cat_Latn
sl,Slovenian,Latn,slv_Latn
he,Hebrew,Hebr,heb_Hebr
et,Estonian,Latn,est_Latn
lv,Latvian,Latn,lav_Latn
hi,Hindi,Deva,hin_Deva
sq,Albanian,Latn,sqi_Latn
ms,Malay,Latn,msa_Latn
az,Azerbaijani,Latn,aze_Latn
sr,Serbian,Cyrl,srp_Cyrl
ta,Tamil,Taml,tam_Taml
hr,Croatian,Latn,hrv_Latn
kk,Kazakh,Cyrl,kaz_Cyrl
is,Icelandic,Latn,isl_Latn
ml,Malayalam,Mlym,mal_Mlym
mr,Marathi,Deva,mar_Deva
te,Telugu,Telu,tel_Telu
af,Afrikaans,Latn,afr_Latn
gl,Galician,Latn,glg_Latn
fil,Filipino,Latn,fil_Latn
be,Belarusian,Cyrl,bel_Cyrl
mk,Macedonian,Cyrl,mkd_Cyrl
eu,Basque,Latn,eus_Latn
bn,Bengali,Beng,ben_Beng
ka,Georgian,Geor,kat_Geor
mn,Mongolian,Cyrl,mon_Cyrl
bs,Bosnian,Cyrl,bos_Cyrl
uz,Uzbek,Latn,uzb_Latn
ur,Urdu,Arab,urd_Arab
sw,Swahili,Latn,swa_Latn
yue,Cantonese,Hant,yue_Hant
ne,Nepali,Deva,nep_Deva
kn,Kannada,Knda,kan_Knda
kaa,Kara-Kalpak,Cyrl,kaa_Cyrl
gu,Gujarati,Gujr,guj_Gujr
si,Sinhala,Sinh,sin_Sinh
cy,Welsh,Latn,cym_Latn
eo,Esperanto,Latn,epo_Latn
la,Latin,Latn,lat_Latn
hy,Armenian,Armn,hye_Armn
ky,Kyrghyz,Cyrl,kir_Cyrl
tg,Tajik,Cyrl,tgk_Cyrl
ga,Irish,Latn,gle_Latn
mt,Maltese,Latn,mlt_Latn
my,Myanmar (Burmese),Mymr,mya_Mymr
km,Khmer,Khmr,khm_Khmr
tt,Tatar,Cyrl,tat_Cyrl
so,Somali,Latn,som_Latn
ku,Kurdish (Kurmanji),Latn,kur_Latn
ps,Pashto,Arab,pus_Arab
pa,Punjabi,Guru,pan_Guru
rw,Kinyarwanda,Latn,kin_Latn
lo,Lao,Laoo,lao_Laoo
ha,Hausa,Latn,hau_Latn
dv,Dhivehi,Thaa,div_Thaa
fy,W. Frisian,Latn,fry_Latn
lb,Luxembourgish,Latn,ltz_Latn
ckb,Kurdish (Sorani),Arab,ckb_Arab
mg,Malagasy,Latn,mlg_Latn
gd,Scottish Gaelic,Latn,gla_Latn
am,Amharic,Ethi,amh_Ethi
ug,Uyghur,Arab,uig_Arab
ht,Haitian Creole,Latn,hat_Latn
grc,Ancient Greek,Grek,grc_Grek
hmn,Hmong,Latn,hmn_Latn
sd,Sindhi,Arab,snd_Arab
jv,Javanese,Latn,jav_Latn
mi,Maori,Latn,mri_Latn
tk,Turkmen,Latn,tuk_Latn
ceb,Cebuano,Latn,ceb_Latn
yi,Yiddish,Hebr,yid_Hebr
ba,Bashkir,Cyrl,bak_Cyrl
fo,Faroese,Latn,fao_Latn
or,Odia (Oriya),Orya,ori_Orya
xh,Xhosa,Latn,xho_Latn
su,Sundanese,Latn,sun_Latn
kl,Kalaallisut,Latn,kal_Latn
ny,Chichewa,Latn,nya_Latn
sm,Samoan,Latn,smo_Latn
sn,Shona,Latn,sna_Latn
co,Corsican,Latn,cos_Latn
zu,Zulu,Latn,zul_Latn
ig,Igbo,Latn,ibo_Latn
yo,Yoruba,Latn,yor_Latn
pap,Papiamento,Latn,pap_Latn
st,Sesotho,Latn,sot_Latn
haw,Hawaiian,Latn,haw_Latn
as,Assamese,Beng,asm_Beng
oc,Occitan,Latn,oci_Latn
cv,Chuvash,Cyrl,chv_Cyrl
lus,Mizo,Latn,lus_Latn
tet,Tetum,Latn,tet_Latn
gsw,Swiss German,Latn,gsw_Latn
sah,Yakut,Cyrl,sah_Cyrl
br,Breton,Latn,bre_Latn
rm,Romansh,Latn,roh_Latn
sa,Sanskrit,Deva,san_Deva
bo,Tibetan,Tibt,bod_Tibt
om,Oromo,Latn,orm_Latn
se,N. Sami,Latn,sme_Latn
ce,Chechen,Cyrl,che_Cyrl
