code_script,iso_639_3,iso_639_2,Lang
aai_Latn,aai,aai,Arifama-Miniafia
aak_Latn,aak,aak,Ankave
aau_Latn,aau,aau,Abau
aaz_Latn,aaz,aaz,Amarasi
aba_Latn,aba,aba,Abé
abi_Latn,abi,abi,Abidji
abk_Cyrl,abk,ab,Abkhazian
abn_Latn,abn,abn,Abua
abq_Cyrl,abq,abq,Abaza
abs_Latn,abs,abs,Ambonese Malay
abt_Latn,abt,abt,Ambulas
abx_Latn,abx,abx,Inabaknon
aby_Latn,aby,aby,Aneme Wake
abz_Latn,abz,abz,Abui
aca_Latn,aca,aca,Achagua
acd_Latn,acd,acd,Gikyode
ace_Arab,ace,ace,Achinese
ace_Latn,ace,ace,Achinese
acf_Latn,acf,acf,Saint Lucian Creole French
ach_Latn,ach,ach,Acoli
acm_Arab,acm,acm,Mesopotamian Arabic
acn_Latn,acn,acn,Achang
acr_Latn,acr,acr,Achi
acu_Latn,acu,acu,Achuar-Shiwiar
ada_Latn,ada,ada,Adangme
ade_Latn,ade,ade,Adele
adh_Latn,adh,adh,Adhola
adi_Latn,adi,adi,Adi
adj_Latn,adj,adj,Adioukrou
adl_Latn,adl,adl,Galo
ady_Cyrl,ady,ady,Adyghe
adz_Latn,adz,adz,Adzera
aeb_Arab,aeb,aeb,Tunisian Arabic
aer_Latn,aer,aer,Eastern Arrernte
aeu_Latn,aeu,aeu,Akeu
aey_Latn,aey,aey,Amele
afr_Latn,afr,af,Afrikaans
agd_Latn,agd,agd,Agarabi
agg_Latn,agg,agg,Angor
agm_Latn,agm,agm,Angaataha
agn_Latn,agn,agn,Agutaynen
agr_Latn,agr,agr,Aguaruna
agt_Latn,agt,agt,Central Cagayan Agta
agu_Latn,agu,agu,Aguacateco
agw_Latn,agw,agw,Kahua
agx_Cyrl,agx,agx,Aghul
aha_Latn,aha,aha,Ahanta
ahk_Latn,ahk,ahk,Akha
aia_Latn,aia,aia,Arosi
aii_Syrc,aii,aii,Assyrian Neo-Aramaic
aim_Latn,aim,aim,Aimol
ain_Latn,ain,ain,Ainu (Japan)
ajg_Latn,ajg,ajg,Aja (Benin)
aji_Latn,aji,aji,Ajië
ajp_Arab,ajp,ajp,South Levantine Arabic
ajz_Latn,ajz,ajz,Amri Karbi
akb_Latn,akb,akb,Batak Angkola
ake_Latn,ake,ake,Akawaio
akh_Latn,akh,akh,Angal Heneng
akp_Latn,akp,akp,Siwu
ald_Latn,ald,ald,Alladian
alj_Latn,alj,alj,Alangan
aln_Latn,aln,aln,Gheg Albanian
alp_Latn,alp,alp,Alune
alq_Latn,alq,alq,Algonquin
als_Latn,als,als,Tosk Albanian
alt_Cyrl,alt,alt,Southern Altai
aly_Latn,aly,aly,Alyawarr
alz_Latn,alz,alz,Alur
ame_Latn,ame,ame,Yanesha'
amf_Latn,amf,amf,Hamer-Banna
amh_Ethi,amh,am,Amharic
ami_Latn,ami,ami,Amis
amk_Latn,amk,amk,Ambai
amm_Latn,amm,amm,Ama (Papua New Guinea)
amn_Latn,amn,amn,Amanab
amp_Latn,amp,amp,Alamblak
amr_Latn,amr,amr,Amarakaeri
amu_Latn,amu,amu,Guerrero Amuzgo
amx_Latn,amx,amx,Anmatyerre
ang_Latn,ang,ang,Old English (ca. 450-1100)
anm_Latn,anm,anm,Anal
ann_Latn,ann,ann,Obolo
anp_Deva,anp,anp,Angika
anv_Latn,anv,anv,Denya
any_Latn,any,any,Anyin
aoi_Latn,aoi,aoi,Anindilyakwa
aoj_Latn,aoj,aoj,Mufian
aom_Latn,aom,aom,Ömie
aoz_Latn,aoz,aoz,Uab Meto
apb_Latn,apb,apb,Sa'a
apc_Arab,apc,apc,Levantine Arabic
ape_Latn,ape,ape,Bukiyip
apn_Latn,apn,apn,Apinayé
apr_Latn,apr,apr,Arop-Lokep
apt_Latn,apt,apt,Apatani
apu_Latn,apu,apu,Apurinã
apw_Latn,apw,apw,Western Apache
apy_Latn,apy,apy,Apalaí
apz_Latn,apz,apz,Safeyoka
aqz_Latn,aqz,aqz,Akuntsu
arb_Arab,arb,arb,Standard Arabic
arb_Latn,arb,arb,Standard Arabic
are_Latn,are,are,Western Arrarnta
arg_Latn,arg,an,Aragonese
arl_Latn,arl,arl,Arabela
arn_Latn,arn,arn,Mapudungun
arp_Latn,arp,arp,Arapaho
arq_Arab,arq,arq,Algerian Arabic
arr_Latn,arr,arr,Karo (Brazil)
ars_Arab,ars,ars,Najdi Arabic
ary_Arab,ary,ary,Moroccan Arabic
arz_Arab,arz,arz,Egyptian Arabic
asg_Latn,asg,asg,Cishingini
asm_Beng,asm,as,Assamese
asm_Latn,asm,as,Assamese
aso_Latn,aso,aso,Dano
ast_Latn,ast,ast,Asturian
ata_Latn,ata,ata,Pele-Ata
atb_Latn,atb,atb,Zaiwa
atd_Latn,atd,atd,Ata Manobo
atg_Latn,atg,atg,Ivbie North-Okpela-Arhe
ati_Latn,ati,ati,Attié
atj_Latn,atj,atj,Atikamekw
atq_Latn,atq,atq,Aralle-Tabulahan
att_Latn,att,att,Pamplona Atta
auc_Latn,auc,auc,Waorani
aui_Latn,aui,aui,Anuki
auy_Latn,auy,auy,Awiyaana
ava_Cyrl,ava,av,Avaric
avk_Latn,avk,avk,Kotava
avn_Latn,avn,avn,Avatime
avt_Latn,avt,avt,Au
avu_Latn,avu,avu,Avokaya
awa_Deva,awa,awa,Awadhi
awb_Latn,awb,awb,Awa (Papua New Guinea)
awi_Latn,awi,awi,Aekyom
awx_Latn,awx,awx,Awara
ayo_Latn,ayo,ayo,Ayoreo
ayp_Arab,ayp,ayp,North Mesopotamian Arabic
ayr_Latn,ayr,ayr,Central Aymara
azb_Arab,azb,azb,South Azerbaijani
azg_Latn,azg,azg,San Pedro Amuzgos Amuzgo
azj_Cyrl,azj,azj,North Azerbaijani
azj_Latn,azj,azj,North Azerbaijani
azz_Latn,azz,azz,Highland Puebla Nahuatl
bak_Cyrl,bak,ba,Bashkir
bam_Latn,bam,bm,Bambara
ban_Latn,ban,ban,Balinese
bao_Latn,bao,bao,Waimaha
bar_Latn,bar,bar,Bavarian
bas_Latn,bas,bas,Basa (Cameroon)
bav_Latn,bav,bav,Vengo
bba_Latn,bba,bba,Baatonum
bbb_Latn,bbb,bbb,Barai
bbc_Latn,bbc,bbc,Batak Toba
bbj_Latn,bbj,bbj,Ghomálá'
bbk_Latn,bbk,bbk,Babanki
bbo_Latn,bbo,bbo,Northern Bobo Madaré
bbr_Latn,bbr,bbr,Girawa
bcc_Arab,bcc,bcc,Southern Balochi
bch_Latn,bch,bch,Bariai
bci_Latn,bci,bci,Baoulé
bcl_Latn,bcl,bcl,Central Bikol
bco_Latn,bco,bco,Kaluli
bcw_Latn,bcw,bcw,Bana
bdd_Latn,bdd,bdd,Bunama
bdh_Latn,bdh,bdh,Baka (South Sudan)
bdq_Latn,bdq,bdq,Bahnar
bea_Latn,bea,bea,Beaver
bef_Latn,bef,bef,Benabena
bel_Cyrl,bel,be,Belarusian
bem_Latn,bem,bem,Bemba (Zambia)
ben_Beng,ben,bn,Bengali
ben_Latn,ben,bn,Bengali
beq_Latn,beq,beq,Beembe
bew_Latn,bew,bew,Betawi
bex_Latn,bex,bex,Jur Modo
bfd_Latn,bfd,bfd,Bafut
bfo_Latn,bfo,bfo,Malba Birifor
bgr_Latn,bgr,bgr,Bawm Chin
bgs_Latn,bgs,bgs,Tagabawa
bgt_Latn,bgt,bgt,Bughotu
bgz_Latn,bgz,bgz,Banggai
bhg_Latn,bhg,bhg,Binandere
bhl_Latn,bhl,bhl,Bimin
bho_Deva,bho,bho,Bhojpuri
bhp_Latn,bhp,bhp,Bima
