script	keep_rows_conv	remove_rows_conv	total_rows_conv	keep_tokens_conv	remove_tokens_conv	total_tokens_conv	keep_disk_converted	remove_disk_converted	total_disk_converted	language_count	source
Latn	5.50B	439.42M	5.93B	4.29T	327.39B	4.61T	21.13TB	4.91TB	26.12TB	1830	fineweb-2,fineweb_en,mala,New CC
Cyrl	1.11B	85.84M	1.19B	1.26T	98.88B	1.36T	9.40TB	2.43TB	11.83TB	91	fineweb-2,mala,New CC
Hani	715.15M	71.29M	786.45M	746.48B	73.89B	820.36B	2.90TB	1.60TB	4.50TB	12	fineweb-2,mala,New CC
Jpan	491.47M	42.47M	533.93M	278.14B	22.81B	300.95B	2.00TB	504.87GB	2.50TB	1	fineweb-2,New CC
Arab	198.64M	20.36M	219.03M	122.36B	13.12B	135.48B	1.03TB	290.11GB	1.31TB	60	fineweb-2,mala,New CC
Hang	79.22M	6.16M	85.38M	59.07B	4.62B	63.69B	336.56GB	66.70GB	403.26GB	1	fineweb-2,mala,New CC
Grek	69.14M	5.90M	75.04M	58.45B	5.15B	63.60B	432.64GB	120.10GB	552.76GB	4	fineweb-2,mala,New CC
Deva	60.09M	5.79M	65.87M	30.63B	2.56B	33.19B	342.83GB	72.51GB	415.37GB	48	fineweb-2,mala,New CC
Thai	55.73M	4.34M	60.06M	46.36B	3.60B	49.96B	526.40GB	110.69GB	637.11GB	11	fineweb-2,mala,New CC
Mlym	39.16M	3.89M	43.05M	7.00B	559.61M	7.56B	94.53GB	18.86GB	113.40GB	6	fineweb-2,mala,New CC
Gujr	38.91M	4.55M	43.46M	5.07B	461.70M	5.53B	60.22GB	13.54GB	73.76GB	2	fineweb-2,mala,New CC
Knda	34.20M	2.70M	36.90M	4.76B	359.45M	5.12B	68.85GB	11.14GB	79.99GB	2	fineweb-2,mala,New CC
Hebr	26.99M	1.83M	28.82M	21.15B	1.38B	22.53B	152.34GB	30.80GB	183.18GB	6	fineweb-2,mala,New CC
Taml	26.65M	2.92M	29.56M	5.88B	461.60M	6.35B	80.38GB	19.44GB	99.82GB	2	fineweb-2,mala,New CC
Guru	24.04M	3.16M	27.21M	2.27B	227.69M	2.50B	26.71GB	8.65GB	35.36GB	2	fineweb-2,mala,New CC
Beng	21.91M	1.51M	23.42M	12.67B	875.46M	13.54B	148.42GB	31.39GB	179.83GB	6	fineweb-2,mala,New CC
Geor	20.56M	1.36M	21.92M	6.19B	419.61M	6.61B	83.04GB	15.75GB	98.81GB	3	fineweb-2,mala,New CC
Armn	17.24M	1.46M	18.70M	4.74B	407.38M	5.15B	42.47GB	11.43GB	53.93GB	4	fineweb-2,mala,New CC
Telu	9.93M	821.21K	10.75M	3.91B	295.72M	4.20B	48.22GB	9.65GB	57.87GB	4	fineweb-2,mala,New CC
Sinh	9.91M	1.12M	11.03M	2.93B	251.40M	3.18B	32.73GB	7.64GB	40.37GB	1	fineweb-2,mala,New CC
Orya	6.57M	616.98K	7.18M	464.57M	37.89M	502.46M	9.79GB	2.20GB	12.01GB	6	fineweb-2,mala
Ethi	6.41M	429.99K	6.85M	1.38B	91.75M	1.46B	12.66GB	2.92GB	15.59GB	13	fineweb-2,mala,New CC
Mymr	6.04M	479.44K	6.52M	5.30B	406.67M	5.72B	40.57GB	7.83GB	48.39GB	9	fineweb-2,mala,New CC
Kana	5.83M	1.11M	6.94M	1.13B	219.26M	1.35B	16.90GB	14.33GB	31.23GB	1	fineweb-2
Khmr	4.96M	380.38K	5.34M	2.24B	160.29M	2.40B	30.95GB	4.99GB	35.95GB	7	fineweb-2,mala,New CC
Bamu	4.71M	1.00M	5.71M	199.46M	42.49M	241.95M	79.67GB	19.47GB	99.14GB	1	fineweb-2
Copt	4.40M	361.99K	4.76M	219.04M	18.03M	237.09M	8.97GB	864.17MB	9.84GB	2	fineweb-2
Tang	3.94M	741.81K	4.68M	209.68M	39.47M	249.15M	22.70GB	7.67GB	30.36GB	1	fineweb-2
Xsux	3.90M	694.59K	4.59M	276.93M	49.35M	326.28M	13.84GB	9.74GB	23.58GB	1	fineweb-2
Laoo	3.46M	470.52K	3.92M	840.28M	87.36M	927.65M	11.85GB	3.95GB	15.80GB	5	fineweb-2,mala,New CC
Yiii	3.39M	417.38K	3.81M	232.88M	28.68M	261.56M	25.82GB	6.24GB	32.05GB	1	fineweb-2
Hira	2.78M	579.38K	3.36M	361.77M	75.28M	437.05M	4.87GB	4.04GB	8.91GB	1	fineweb-2
Thaa	2.51M	301.28K	2.82M	425.90M	45.08M	470.98M	4.75GB	1.28GB	6.02GB	2	fineweb-2,mala,New CC
Kits	1.86M	315.45K	2.17M	269.54M	45.75M	315.29M	12.47GB	17.12GB	29.58GB	1	fineweb-2
Hluw	1.71M	374.92K	2.09M	70.77M	15.47M	86.25M	3.19GB	3.45GB	6.64GB	1	fineweb-2
Japn	1.60M	177.40K	1.78M	148.77M	17.99M	166.76M	6.05GB	2.16GB	8.21GB	1	mala
Shrd	1.41M	216.59K	1.62M	130.80M	20.13M	150.93M	6.06GB	2.35GB	8.40GB	1	fineweb-2
Lina	1.37M	271.63K	1.64M	130.39M	25.87M	156.26M	6.97GB	3.85GB	10.82GB	1	fineweb-2
Samr	1.35M	158.99K	1.51M	64.06M	7.54M	71.59M	4.30GB	1.72GB	6.02GB	1	fineweb-2
Cans	1.24M	248.84K	1.49M	109.29M	21.66M	130.96M	3.55GB	2.78GB	6.33GB	12	fineweb-2,mala
Syrc	1.12M	116.18K	1.23M	44.70M	4.75M	49.44M	20.70GB	4.35GB	25.04GB	4	fineweb-2,mala
Adlm	1.12M	194.29K	1.32M	43.63M	7.55M	51.18M	1.10GB	853.95MB	1.95GB	1	fineweb-2
Egyp	1.12M	190.50K	1.31M	97.41M	16.58M	113.99M	2.54GB	3.52GB	6.05GB	1	fineweb-2
Mend	1.03M	293.72K	1.32M	16.58M	4.75M	21.33M	893.39MB	2.06GB	2.95GB	1	fineweb-2
Linb	735.07K	107.67K	842.75K	52.97M	7.76M	60.73M	6.30GB	997.90MB	7.30GB	1	fineweb-2
Brai	590.10K	125.33K	715.43K	57.85M	12.29M	70.13M	1.94GB	1.30GB	3.24GB	1	fineweb-2
Sgnw	567.29K	106.45K	673.74K	37.34M	7.01M	44.34M	1.40GB	1.11GB	2.50GB	1	fineweb-2
Tibt	544.99K	70.33K	615.32K	288.24M	33.57M	321.81M	4.50GB	1.53GB	6.09GB	4	fineweb-2,mala,New CC
Hung	520.10K	155.23K	675.33K	42.34M	12.64M	54.98M	1.94GB	2.32GB	4.25GB	1	fineweb-2
Mong	435.35K	61.47K	496.83K	119.66M	16.95M	136.62M	1.97GB	1.04GB	3.03GB	3	fineweb-2,mala
Bali	422.49K	77.08K	499.57K	39.62M	7.23M	46.84M	1.19GB	662.91MB	1.85GB	1	fineweb-2
Nshu	419.71K	89.40K	509.11K	38.53M	8.21M	46.74M	993.06MB	1.28GB	2.27GB	1	fineweb-2
Modi	386.82K	67.33K	454.15K	52.58M	9.15M	61.73M	16.45GB	7.42GB	23.87GB	1	fineweb-2
Lana	377.58K	110.80K	488.38K	47.55M	13.95M	61.50M	688.16MB	2.05GB	2.74GB	1	fineweb-2
