script	keep_rows	language_count
Latn	5497457982	1830
Cyrl	1108574188	91
Arab	198646213	60
Deva	60086007	48
Ethi	6418338	13
Cans	1241527	12
Hani	715150734	12
Thai	55726133	11
Mymr	6041663	9
Khmr	4959991	7
Hebr	26986292	6
Mlym	39158406	6
Beng	21915886	6
Orya	6566052	6
Laoo	3451054	5
Syrc	1119395	4
Tibt	544984	4
Tfng	29832	4
Telu	9927792	4
Armn	17242391	4
Grek	69140447	4
Geor	20557537	3
Mong	435352	3
Copt	4397455	2
Cher	94199	2
Thaa	2513322	2
Runr	252181	2
Lisu	101475	2
Knda	34204460	2
Mtei	175691	2
Bugi	7037	2
Nkoo	98771	2
Olck	45800	2
Guru	24042998	2
Goth	11841	2
Kali	105872	2
Gujr	38901577	2
Taml	26646192	2
Talu	65772	2
Dogr	21286	1
Diak	68418	1
Cpmn	0	1
Cprt	88193	1
Chrs	10239	1
Buhd	3158	1
Bopo	181708	1
Brah	138030	1
Adlm	1122406	1
Armi	0	1
Aghb	0	1
Ahom	60214	1
Bali	422491	1
Avst	32162	1
Cari	77735	1
Cham	17917	1
Brai	590104	1
Cakm	0	1
Bass	0	1
Bamu	4710727	1
Batk	0	1
Bhks	131896	1
Gonm	94819	1
Gong	0	1
Kawi	20279	1
Kana	5828958	1
Jpan	491465489	1
Java	58521	1
Ital	32065	1
Japn	1603444	1
Hung	520096	1
Hmnp	118870	1
Hatr	7438	1
Kthi	31065	1
Lina	1369182	1
Limb	59	1
Lana	377578	1
Khoj	39854	1
Kits	1858513	1
Khar	153370	1
Mand	8727	1
Maka	0	1
Lydi	4591	1
Linb	735073	1
Hira	2784331	1
Hluw	1714758	1
Hmng	101019	1
Hano	0	1
Hang	79219710	1
Glag	237678	1
Egyp	1119452	1
Elba	24862	1
Gran	97962	1
Elym	1662	1
Dsrt	197996	1
Dupl	258897	1
Nbat	17611	1
Narb	5224	1
Nand	17389	1
Nagm	63572	1
Mult	0	1
Mroo	186137	1
Mero	0	1
Modi	386819	1
Marc	67800	1
Mani	65940	1
Mend	1025555	1
Merc	107519	1
Ogam	0	1
Orkh	0	1
Osge	0	1
Nshu	419712	1
Phnx	0	1
Plrd	104310	1
Rjng	10296	1
Prti	6054	1
Rohg	35210	1
Samr	1351547	1
Sarb	4990	1
Saur	315779	1
Ougr	32342	1
Palm	48994	1
Pauc	13226	1
Perm	2874	1
Phag	107755	1
Phli	19162	1
Phlp	9083	1
Osma	16975	1
Sogo	22286	1
Sogd	14515	1
Sinh	9909180	1
Sind	14810	1
Sidd	34753	1
Shrd	1407082	1
Shaw	8406	1
Sgnw	567289	1
Tale	26174	1
Takr	30701	1
Tagb	6579	1
Sylo	12417	1
Soyo	22207	1
Tang	3940389	1
Sund	0	1
Sora	0	1
Tglg	8582	1
Tavt	30945	1
Tirh	0	1
Tnsa	89545	1
Toto	0	1
Ugar	4848	1
Vaii	243465	1
Vith	65142	1
Wara	46804	1
Wcho	31939	1
Xpeo	0	1
Xsux	3897670	1
Yezi	33923	1
Yiii	3389232	1
Zanb	24457	1
Zyyy	17	1
