lang_name	keep_rows	remove_rows	total_rows	keep_tokens	remove_tokens	total_tokens	keep_disk	remove_disk	total_disk	source
eng_Latn	1311089898	101082791	1412172689	1209768049692	93234552534	1303002602226	5273.79GB	1389.58GB	6663.36GB	fineweb_en, mala, New CC
rus_Cyrl	858533615	67210488	925744103	1135503823690	90178931423	1225682755113	7820.53GB	2070.72GB	9891.25GB	fineweb-2, mala, New CC
cmn_Hani	713970414	71188876	785159290	745876230028	73835166891	819711396919	2703.03GB	1488.30GB	4191.34GB	fineweb-2, New CC
deu_Latn	668616647	53652398	722269045	632323804701	51112294384	683436099085	2654.70GB	619.14GB	3273.84GB	fineweb-2, mala, New CC
spa_Latn	604454122	43332181	647786303	483748642332	34789270757	518537913089	2361.20GB	464.31GB	2825.52GB	fineweb-2, mala, New CC
fra_Latn	513533126	40315667	553848793	430864822247	33771457583	464636279830	2005.12GB	457.49GB	2462.62GB	fineweb-2, mala, New CC
jpn_Jpan	491465489	42468247	533933736	278140020404	22807354037	300947374441	1859.43GB	470.20GB	2329.63GB	fineweb-2, New CC
ita_Latn	311421021	25504599	336925620	250122965294	20688098340	270811063634	1204.02GB	272.65GB	1476.67GB	fineweb-2, mala, New CC
por_Latn	271475185	18673879	290149064	204642598869	14122468815	218765067684	999.51GB	210.32GB	1209.83GB	fineweb-2, mala, New CC
pol_Latn	223213297	15376792	238590089	180340459776	12593577913	192934037689	848.01GB	171.91GB	1019.93GB	fineweb-2, mala, New CC
nld_Latn	219161133	14027531	233188664	146160884683	9382137457	155543022140	688.83GB	148.09GB	836.91GB	fineweb-2, mala, New CC
ind_Latn	156915320	16208928	173124248	60968494074	5145594340	66114088414	378.92GB	60.38GB	439.30GB	fineweb-2, mala
tur_Latn	143311483	9984830	153296313	118402262943	8209060460	126611323403	576.36GB	135.41GB	711.77GB	fineweb-2, mala, New CC
