lang_name	keep_rows
eng_Latn	1311089898
rus_Cyrl	858533615
cmn_Hani	713970414
deu_Latn	668616647
spa_Latn	604454122
fra_Latn	513533126
jpn_Jpan	491465489
ita_Latn	311421021
por_Latn	271475185
pol_Latn	223213297
nld_Latn	219161133
ind_Latn	156915320
tur_Latn	143311483
vie_Latn	87769030
fas_Arab	82798155
kor_Hang	79219710
swe_Latn	77323851
hun_Latn	70788907
ell_Grek	67476934
ukr_Cyrl	67869004
tha_Thai	55470733
aze_Latn	51375448
arb_Arab	53699784
slv_Latn	50407115
cat_Latn	48833850
fin_Latn	47804845
hbs_Latn	42983851
ces_Latn	47538243
fil_Latn	40145082
guj_Gujr	38815483
nob_Latn	38880874
mal_Mlym	39099424
bul_Cyrl	37109490
kan_Knda	34200429
hin_Deva	29149297
tam_Taml	26549719
ara_Arab	25144413
kaz_Cyrl	25783423
sqi_Latn	24157991
pan_Guru	24024934
est_Latn	24178713
srp_Cyrl	25133722
heb_Hebr	25236869
isl_Latn	24060884
mlt_Latn	23368058
mkd_Cyrl	22606373
bos_Latn	21617841
lit_Latn	20086404
kat_Geor	20267734
hrv_Latn	19832012
ben_Beng	19903823
glg_Latn	19314836
ceb_Latn	18142710
ron_Latn	18277620
msa_Latn	16895725
hye_Armn	16931618
tgk_Cyrl	16597415
mar_Deva	15369095
bel_Cyrl	15223440
nep_Deva	13179513
urd_Arab	12916548
slk_Latn	12785724
mon_Cyrl	11457963
swa_Latn	10315887
dan_Latn	11334787
eus_Latn	10878956
azj_Latn	10372969
sin_Sinh	9909180
lat_Latn	9860432
als_Latn	9944153
tel_Telu	9811862
afr_Latn	9380855
ekk_Latn	9242101
ltz_Latn	8585994
zsm_Latn	8669616
som_Latn	7468883
cym_Latn	6470707
und_Kana	5828958
kir_Cyrl	6471465
nor_Latn	6132979
uzb_Latn	6067357
mya_Mymr	5797901
epo_Latn	5774232
hau_Latn	5483504
ary_Arab	5674014
gle_Latn	5469893
lvs_Latn	5511570
nno_Latn	5193977
und_Bamu	4710727
ory_Orya	5126879
amh_Ethi	4864739
tat_Cyrl	4716122
khm_Khmr	4742933
und_Copt	4396025
und_Tang	3940389
und_Xsux	3897670
arz_Arab	4192689
pus_Arab	3714572
lav_Latn	3761886
hbs_Cyrl	3468184
und_Yiii	3389232
war_Latn	3428865
multi_Latn	3107041
und_Hira	2784331
mlg_Latn	2848787
uzn_Cyrl	2607331
hat_Latn	2579899
zul_Latn	2469561
kur_Latn	2408980
tgl_Latn	2243457
uzb_Cyrl	2223336
div_Thaa	2251318
und_Laoo	2055385
fry_Latn	2143363
sna_Latn	2140911
und_Cyrl	1859952
fao_Latn	2091383
sun_Latn	1993116
und_Kits	1858513
und_Hluw	1714758
snd_Arab	1906809
cos_Latn	1785324
bak_Cyrl	1853030
ckb_Arab	1781141
asm_Beng	1819123
und_Grek	1569549
jpn_Japn	1603444
ast_Latn	1629413
ibo_Latn	1590738
mri_Latn	1534556
und_Lina	1369182
ars_Arab	1530800
und_Shrd	1407082
anp_Deva	1438448
khk_Cyrl	1438065
und_Samr	1351547
lao_Laoo	1395591
ori_Orya	1335134
und_Cans	1231332
yid_Hebr	1246571
hmn_Latn	1203798
jav_Latn	1256017
nya_Latn	1205461
und_Mend	1025555
und_Adlm	1122406
und_Egyp	1119452
tir_Ethi	1200652
uig_Arab	1187691
wln_Latn	1177825
und_Syrc	1117085
yor_Latn	1115090
swh_Latn	1116479
gla_Latn	1011881
xho_Latn	1022752
uzn_Latn	1030779
bre_Latn	980751
sot_Latn	917368
che_Cyrl	875249
nan_Latn	905480
tel_Latn	898416
bew_Latn	885967
glk_Arab	876518
smo_Latn	883152
orm_Latn	859552
zho_Hani	840529
haw_Latn	808973
pnb_Arab	806696
und_Linb	735073
oci_Latn	760653
chv_Cyrl	731681
kin_Latn	701701
und_Brai	590104
srp_Latn	630883
und_Hung	520096
und_Sgnw	567289
pcm_Latn	563555
kaa_Cyrl	588714
lug_Latn	570875
pbt_Arab	556450
aze_Arab	481854
gsw_Latn	519601
min_Latn	548216
tuk_Latn	526599
lim_Latn	526453
kmr_Latn	473752
und_Nshu	419712
roh_Latn	467789
und_Bali	422491
und_Lana	377578
vec_Latn	451528
san_Deva	426600
und_Modi	386819
gmh_Latn	383582
nds_Latn	379541
sco_Latn	382193
und_Mong	364921
und_Ethi	351771
azb_Arab	376136
tsn_Latn	375822
rus_Latn	349613
und_Hebr	345200
mon_Latn	344803
und_Saur	315779
